www.nytimes.com,cb0ef74d84,Mariah Carey,Top>Person>FullName,0,1,2,2,0,1
www.nytimes.com,5252a45afb,Order of the British Empire,Top>Organization>Military>Police,1,0,0,1,0,0
www.nytimes.com,__15859451296437821890,Honors List,Top,1,0,0,1,0,0
www.nytimes.com,effe6d1a6d,Anna Wintour,Top>Person>FullName,1,0,0,1,0,0
www.nytimes.com,__10785681157194392457,D. A. Davidson,Top>Person>FullName,0,0,1,1,0,0
www.nytimes.com,__16040092617402834934,El Paso Independent School District,Top,0,0,1,1,0,0
www.nytimes.com,d88368b76d,Washington,Top>Location>GeoPoliticalEntity>Adm1,0,0,2,2,0,0
www.nytimes.com,e5d90cb359,Google Search,Top>Product>ProfessionalService>TelecommunicationsService,1,0,0,1,0,0
www.nytimes.com,6addf3263d,Indiana,Top>Location>GeoPoliticalEntity>Adm1,0,0,2,2,0,0
www.nytimes.com,fcc3fdd689,House Party,Top>Organization>Company,0,0,2,2,0,0
www.nytimes.com,20a40f68c9,Jets,Top>Organization>SportsOrganization>SportsTeam,2,0,1,1,1,1
www.nytimes.com,9630feea06,Holden,Top>Location>GeographicalEntity>WaterForm>Lake,2,0,0,0,0,2
www.nytimes.com,__5226625287925773741,Bruck,Top>Person>FullName,0,2,0,0,2,0
www.nytimes.com,062f922269,Lithuania,Top>Location>GeoPoliticalEntity>Country,0,2,0,0,0,2
www.nytimes.com,0900c2d303,NATO,Top>Organization>Military,2,0,2,2,0,2
www.nytimes.com,d2aceb9067,Russia,Top>Location>GeoPoliticalEntity>Country,5,7,3,8,4,3
www.nytimes.com,4c1c5cf3a1,Afghanistan,Top>Location>GeoPoliticalEntity>Country,1,2,1,0,2,2
www.nytimes.com,be2f44c272,Barack Obama,Top>Person>FullName,21,5,4,17,2,11
www.nytimes.com,__3199888848556001619,Northwest China town,Top,0,0,2,0,0,2
www.nytimes.com,de55d45751,State Department,Top>Organization>Government,2,0,0,0,0,2
www.nytimes.com,a2268ad8cd,Istanbul,Top>Location>GeoPoliticalEntity>City,2,3,0,1,4,0
www.nytimes.com,__10355280771032317869,Hollywood Sign Trust,Top,0,0,2,0,0,2
www.nytimes.com,__12618389132612093767,Finegood,Top>Person>FullName,2,0,0,0,0,2
www.nytimes.com,__7645171498367203778,Christopher Garcia,Top>Person>FullName,0,2,0,0,0,2
www.nytimes.com,__9491598221926975552,Professor Smith,Top,2,0,0,2,0,0
www.nytimes.com,883a76e136,Donald Trump,Top>Person>FullName,49,44,44,65,22,50
www.nytimes.com,__12546427467944266826,Anita White,Top>Person>FullName,0,1,0,0,1,0
www.nytimes.com,__13839191818803607806,Washington Navy Yard,Top,0,1,0,0,1,0
www.nytimes.com,__17844110363179589575,Southeast Washington,Top,0,1,0,0,1,0
www.nytimes.com,__1765435923314874913,Jonathan Lethem,Top>Person>FullName,0,1,0,0,0,1
www.nytimes.com,8266b3fe56,Ferrell,Top>Person>LastName,1,0,0,1,0,0
www.nytimes.com,__2356364254759127045,Clemson Coach Dabo Swinney,Top,1,0,1,1,0,1
www.nytimes.com,__11440270822511865821,Lydia Peelle,Top>Person>FullName,1,0,0,1,0,0
www.nytimes.com,__1878527650110095746,Charles,Top>Person,0,0,1,1,0,0
www.nytimes.com,60245fc1a3,The New York Times,Top>Product>CulturalProduct>Printing>Newspaper,0,2,9,4,4,3
www.nytimes.com,602f18a669,11-S,Top>Timex>Date,0,0,1,0,1,0
www.nytimes.com,__307841888768932854,Katherine Lotspeich,Top,0,1,0,0,1,0
www.nytimes.com,81ff442003,Garrett,Top>Person>LastName,0,1,0,0,1,0
www.nytimes.com,__14634087875732742311,Julia Garratt,Top>Person>FullName,0,1,0,0,1,0
www.nytimes.com,__18146047926506023817,Pierre Chareau,Top>Person>FullName,1,0,0,1,0,0
www.nytimes.com,aa9a241b6b,Alabama,Top>Location>GeoPoliticalEntity>Adm1,2,1,0,1,0,2
www.nytimes.com,__17800020139438145206,Sandringham,Top,0,0,1,0,1,0
www.nytimes.com,5dc300cb39,Burundi,Top>Location>GeoPoliticalEntity>Country,0,1,0,0,1,0
www.nytimes.com,c2d786a201,Weeks,Top>Person>LastName,0,0,3,0,3,0
www.nytimes.com,__13473155276403484312,Street station,Top>Location>Facility>StationTop>Station,0,1,0,1,0,0
www.nytimes.com,__9318954008980750242,Second Avenue Subway,Top,1,0,0,1,0,0
www.nytimes.com,f1321fc58c,Upper East Side,Top>Location>GeoPoliticalEntity>District,0,1,0,1,0,0
www.nytimes.com,33788a0039,Kim Jong-un,Top>Person>FullName,1,1,0,1,0,1
www.nytimes.com,__8012637413134331273,North,Top>Location,1,0,0,1,0,0
www.nytimes.com,b63f2e8a0c,North Korea,Top>Location>GeoPoliticalEntity>Country,3,0,0,2,0,1
www.nytimes.com,__11502989203999457741,National Women,Top,0,0,1,0,0,1
www.nytimes.com,__5615764010391274514,Lauren Elizabeth Pully,Top>Person>FullName,0,0,1,1,0,0
www.nytimes.com,8160ea148f,New Jersey,Top>Location>GeoPoliticalEntity>Adm1,2,0,1,3,0,0
www.nytimes.com,__17243936104685963554,Marcus Arden Tabani,Top,0,0,1,1,0,0
www.nytimes.com,__15818858260897128146,Ahmed Domkreo,Top>Person>FullName,1,0,0,1,0,0
www.nytimes.com,__17913107391389988844,Calley Larkin Means,Top,0,0,1,1,0,0
www.nytimes.com,__9193142850674703087,Michelle Voorhees,Top>Person>FullName,0,0,1,1,0,0
www.nytimes.com,__6218407536749471876,Richie Lin,Top>Person>FullName,0,0,1,1,0,0
